step 14050: train loss 2.7981, val loss 2.9187, lr 2.86e-04 (4589.61s) | 🟡 Po: 84.8% SW: 1690Mo MPS: 2249Mo | 💾 | 🗑️ | ✨
step 14100: train loss 2.8503, val loss 2.8436, lr 2.85e-04 (4597.37s) | 🟡 Po: 81.6% SW: 1704Mo MPS: 2249Mo | 💾 | 🗑️ | ✨
step 14150: train loss 2.8327, val loss 2.8443, lr 2.85e-04 (4596.14s) | 🟡 Po: 79.5% SW: 1688Mo MPS: 2249Mo | 💾 | 🗑️ | ✨
step 14200: train loss 2.8391, val loss 2.7989, lr 2.85e-04 (4591.36s) | 🟡 Po: 81.9% SW: 1672Mo MPS: 2249Mo | 💾 | 🗑️ | ✨
step 14250: train loss 2.8807, val loss 2.8690, lr 2.85e-04 (4593.20s) | 🔴 Po: 86.3% SW: 1672Mo MPS: 2249Mo | 💾 | 🗑️ | ✨
step 14300: train loss 2.8115, val loss 2.8757, lr 2.85e-04 (4595.68s) | 🟡 Po: 79.8% SW: 1672Mo MPS: 2249Mo | 💾 | 🗑️ | ✨
step 14350: train loss 2.8629, val loss 2.8406, lr 2.85e-04 (4583.57s) | 🟡 Po: 83.1% SW: 1656Mo MPS: 2249Mo | 💾 | 🗑️ | ✨
step 14400: train loss 2.9076, val loss 2.8359, lr 2.85e-04 (4584.66s) | 🟡 Po: 83.7% SW: 1656Mo MPS: 2249Mo | 💾 | 🗑️ | ✨
step 14450: train loss 2.8845, val loss 2.9052, lr 2.85e-04 (4662.02s) | 🟡 Po: 82.7% SW: 3040Mo MPS: 2249Mo | 💾 | 🗑️ | ✨
step 14500: train loss 2.7813, val loss 2.8668, lr 2.84e-04 (4583.91s) | 🟡 Po: 80.9% SW: 3000Mo MPS: 2249Mo | 💾 | 🗑️ | ✨
step 14550: train loss 2.8202, val loss 2.8427, lr 2.84e-04 (4590.77s) | 🟡 Po: 80.1% SW: 2960Mo MPS: 2249Mo | 💾 | 🗑️ | ✨
step 14600: train loss 2.8128, val loss 2.9302, lr 2.84e-04 (4577.62s) | 🟡 Po: 77.7% SW: 2944Mo MPS: 2249Mo | 💾 | 🗑️ | ✨
step 14650: train loss 2.8027, val loss 2.8784, lr 2.84e-04 (4583.21s) | 🟡 Po: 76.8% SW: 2880Mo MPS: 2249Mo | 💾 | 🗑️ | ✨
step 14700: train loss 2.8225, val loss 2.9702, lr 2.84e-04 (4577.01s) | 🟡 Po: 80.7% SW: 2864Mo MPS: 2249Mo | 💾 | 🗑️ | ✨
step 14750: train loss 2.7755, val loss 2.8574, lr 2.84e-04 (4577.02s) | 🟡 Po: 83.7% SW: 2864Mo MPS: 2249Mo | 💾 | 🗑️ | ✨
step 14800: train loss 2.7712, val loss 2.8559, lr 2.84e-04 (4589.42s) | 🟡 Po: 84.9% SW: 2776Mo MPS: 2249Mo | 💾 | 🗑️ | ✨
step 14850: train loss 2.7607, val loss 2.8150, lr 2.84e-04 (4590.33s) | 🟡 Po: 81.9% SW: 2776Mo MPS: 2249Mo | 💾 | 🗑️ | ✨
