date_m,2024,2023,2022,2021,2016-2021 average,max 2016-2021,min 2016-2021
10/07,,96.9,91.36,75.94,87.62,96.39,75.94
10/08,,97.04,91.68,76.05,87.7,96.39,76.05
10/09,,97.13,91.98,76.26,87.79,96.37,76.26
10/10,,97.2,92.19,76.89,87.9,96.07,76.89
10/11,,97.36,92.34,76.88,87.94,96.1,76.88
10/12,,97.49,92.48,76.93,88.02,96.24,76.93
10/13,,97.7,92.59,76.86,88.06,96.42,76.86
10/14,,97.93,92.7,76.85,88.14,96.48,76.85
10/15,,98.08,92.98,76.86,88.23,96.55,76.86
10/16,,98.11,93.26,76.94,88.28,96.51,76.94
10/17,,98.12,93.47,77.04,88.34,96.53,77.04
10/18,,98.14,93.63,77.04,88.39,96.55,77.04
10/19,,98.19,93.76,77.11,88.44,96.63,77.11
10/20,,98.28,93.9,77.24,88.48,96.58,77.24
10/21,,98.45,94.03,77.26,88.54,96.59,77.26
10/22,,98.61,94.24,77.2,88.56,96.6,77.2
10/23,,98.65,94.46,77.18,88.57,96.56,77.18
10/24,,98.71,94.65,77.2,88.59,96.62,77.2
10/25,,99.02,94.69,77.07,88.62,96.66,77.07
10/26,,98.8,94.78,76.98,88.61,96.69,76.98
10/27,,98.85,94.92,77.01,88.62,96.85,77.01
10/28,,99.04,95.08,76.97,88.63,96.88,76.97
10/29,,99.21,95.19,76.96,88.63,96.79,76.96
10/30,,99.3,95.55,76.94,88.63,96.7,76.94
10/31,,99.38,95.6,77.07,88.6,96.34,77.07
11/01,,99.49,95.78,77.07,88.6,96.41,77.07
11/03,,99.57,95.86,76.5,88.45,96.64,76.5
11/04,,99.63,95.9,76.25,88.35,96.68,76.25
11/05,,99.7,95.92,76.01,88.24,96.66,76.01
11/06,,99.69,96.04,75.92,88.14,96.66,75.92
11/07,,99.68,96.08,75.87,88.01,96.62,75.87
11/08,,99.64,96.13,75.59,87.82,96.56,75.59
11/09,,99.6,96.19,75.3,87.61,96.55,75.3
11/10,,99.55,96.24,75.02,87.39,96.53,75.02
11/11,,99.57,96.29,74.72,87.21,96.39,74.72
11/12,,99.58,96.37,74.4,87.0,96.23,74.4
11/13,,99.5,96.46,74.23,86.79,96.05,74.23
11/14,,99.48,96.39,74.12,86.56,95.85,74.12
11/15,,99.44,96.27,73.8,86.32,95.72,73.8
11/16,,99.28,96.2,73.42,86.07,95.6,73.42
11/17,,99.12,96.15,73.1,85.84,95.5,73.1
11/18,,99.06,96.04,72.81,85.61,95.29,72.81
11/19,,99.1,95.95,72.62,85.36,95.01,72.62
11/20,,98.99,95.83,72.47,85.0,94.62,72.47
11/21,,98.8,95.62,72.29,84.71,94.31,72.29
11/22,,98.51,95.39,71.87,84.4,94.11,71.87
11/23,,98.28,95.18,71.4,84.08,94.06,71.4
11/24,,98.04,95.0,70.84,83.76,94.04,70.84
11/25,,97.8,94.83,70.31,83.42,93.88,70.31
11/26,,97.54,94.77,69.8,83.06,93.79,69.8
11/27,,97.11,94.71,69.38,82.7,93.72,69.38
11/28,,96.61,94.41,68.96,82.33,93.68,68.96
11/29,,96.03,94.01,68.38,81.88,93.64,68.38
11/30,,95.45,93.6,67.83,81.33,93.37,67.83
12/02,,94.44,92.67,66.67,80.42,93.1,66.67
12/03,,94.01,92.38,66.09,79.95,92.75,66.09
12/04,,93.41,92.09,65.64,79.47,92.36,65.64
12/05,,92.83,91.67,65.19,78.98,91.96,65.19
12/06,,92.24,91.22,64.56,78.42,91.62,64.56
12/07,,91.71,90.73,63.96,78.02,91.49,63.96
12/08,,91.29,90.23,63.35,77.61,91.47,63.35
