jour,stock_solide,stock_liquide,cout_moyen_solide,cout_moyen_liquide,date
154,0.0,5410.000000000003,236.04755555555556,311.3539939187539,2025-06-03
155,0.0,4687.000000000003,236.04755555555556,311.3539939187539,2025-06-04
156,11593.41916410912,4410.5808358908835,211.31163636363635,308.55683579259744,2025-06-05
157,11033.31285386954,4234.687146130464,211.31163636363635,304.9233865039705,2025-06-06
158,10438.371743220245,4829.628256779759,211.31163636363635,301.3988281940809,2025-06-07
159,10033.621685775539,4553.378314224465,211.31163636363635,299.4589526778415,2025-06-08
160,9452.18555418269,5134.814445817315,211.31163636363635,296.8378869710854,2025-06-09
161,8997.842037289422,5589.157962710582,211.31163636363635,295.1693048784265,2025-06-10
162,8452.153866276029,5392.846133723976,211.31163636363635,293.4919349139468,2025-06-11
163,7906.029552793223,5232.9704472067815,211.31163636363635,291.91210237653615,2025-06-12
164,7906.029552793223,4495.9704472067815,211.31163636363635,291.91210237653615,2025-06-13
165,7575.378666940088,4826.621333059917,211.31163636363635,290.8433821370686,2025-06-14
166,6947.383381843903,4733.616618156101,211.31163636363635,289.170328196017,2025-06-15
167,6510.109448732339,5170.890551267666,211.31163636363635,288.082938954944,2025-06-16
168,6127.729268256315,5553.27073174369,211.31163636363635,287.2724053024835,2025-06-17
169,5833.8801713896555,5097.119828610349,211.31163636363635,286.72156794185946,2025-06-18
170,5302.749397972141,4882.250602027863,211.31163636363635,285.73919608223173,2025-06-19
171,4740.6372362745315,4787.362763725473,211.31163636363635,284.76583221892315,2025-06-20
172,4470.398964063492,5057.601035936513,211.31163636363635,284.3141067339288,2025-06-21
173,3966.2861263498594,4816.713873650146,211.31163636363635,283.5887641257446,2025-06-22
174,3566.2180672764025,5216.781932723603,211.31163636363635,283.0306908888408,2025-06-23
175,3015.9244714049187,5767.075528595087,211.31163636363635,282.3895595810925,2025-06-24
176,2639.2496340092457,5462.75036599076,211.31163636363635,282.0169206222715,2025-06-25
177,2072.147566165182,5364.852433834823,211.31163636363635,281.48034389237426,2025-06-26
178,1611.097251862947,5139.902748137059,211.31163636363635,281.0713026958965,2025-06-27
179,923.0731358907974,5827.926864109208,211.31163636363635,280.50939358191243,2025-06-28
180,564.9186477506437,5523.081352249361,211.31163636363635,280.2663567541957,2025-06-29
181,120.19078316034057,5967.809216839664,211.31163636363635,279.9716465363519,2025-06-30
182,0.0,6088.000000000005,211.31163636363635,279.8993897214647,2025-07-01
183,0.0,5391.000000000005,211.31163636363635,279.89938972146473,2025-07-02
184,0.0,4668.000000000005,211.31163636363635,279.8993897214647,2025-07-03
185,6586.946430927967,4409.053569072037,200.63791780821919,278.7400333411574,2025-07-04
186,6031.29182950402,4964.708170495984,200.63791780821919,277.27363279267604,2025-07-05
187,5411.934201795641,4916.065798204363,200.63791780821919,275.98305544457577,2025-07-06
188,4893.11354412169,5434.886455878313,200.63791780821919,274.99549643008766,2025-07-07
189,4383.023068677328,5944.976931322675,200.63791780821919,274.1925981542192,2025-07-08
190,3976.5260448786753,5642.473955121329,200.63791780821919,273.6450949880613,2025-07-09
191,3644.078059057555,5324.9219409424495,200.63791780821919,273.19957118844303,2025-07-10
192,2982.5349561667463,5317.465043833258,200.63791780821919,272.3639595873545,2025-07-11
193,2982.5349561667463,5317.465043833258,200.63791780821919,272.3639595873545,2025-07-12
194,2436.56329944982,5212.4367005501845,200.63791780821919,271.7376667899994,2025-07-13
195,1992.5773077922404,5656.422692207764,200.63791780821919,271.25888306963344,2025-07-14
196,1544.896309650578,6104.103690349427,200.63791780821919,270.84663592141936,2025-07-15
197,964.3495743760913,6023.650425623913,200.63791780821919,270.3942705615208,2025-07-16
198,302.8705259288746,5999.12947407113,200.63791780821919,269.923639782336,2025-07-17
199,302.8705259288746,5256.12947407113,200.63791780821919,269.923639782336,2025-07-18
200,0.0,5559.000000000005,200.63791780821919,269.6901411551934,2025-07-19
201,0.0,4857.000000000005,200.63791780821919,269.6901411551934,2025-07-20
202,6673.365106552205,5183.634893447799,191.8321,268.879921109028,2025-07-21
203,6302.868725790441,5554.131274209563,191.8321,268.0762537312533,2025-07-22
204,5640.510405920777,5481.489594079228,191.8321,266.87820479043586,2025-07-23
205,5103.960022126627,5288.039977873377,191.8321,265.9825242365075,2025-07-24
206,4842.206237353904,4841.793762646101,191.8321,265.55094816744656,2025-07-25
207,4504.548839418333,5179.4511605816715,191.8321,264.9825513443197,2025-07-26
208,3947.6107243713113,4991.389275628693,191.8321,264.1912352759048,2025-07-27
209,3690.9577121015254,5248.042287898479,191.8321,263.8313402650324,2025-07-28
210,3320.866916052297,5618.133083947708,191.8321,263.3702699481282,2025-07-29
211,2804.260818046112,5404.7391819538925,191.8321,262.81969096427514,2025-07-30
