🚀 Initialisation de l'entraînement sur MPS...
✅ Tokenizer chargé (Vocab: 30256)
🚀 Device: mps
Dtype du modèle : torch.float32
✨ Aucun checkpoint trouvé, démarrage à zéro.
🚀 Dataset Train: 1526.63M tokens.
✅ Provider HP initialisé : 5963390 blocs uniques. Epoch : 0
🔄 Reprise au batch 0 [step : 0]
🚀 Init terminé.
📦 Démarrage du mode binaire (Continuous Training)
🌡️  Surveillance Mac Pro : Maintenir sous 75°C idéalement.
[96m[Model config][0m
  n_embd             : 384[0m
  num_heads          : 6[0m
  n_layers           : 6[0m
  block_size         : 256[0m
  dropout            : [93m0.15[0m
[96m[Train params][0m
  batch_size         : 32[0m
  grad_accum_steps   : 4[0m
  learning_rate      : [92m0.0003[0m
  min_lr             : 3e-05[0m
  warmup_iters       : 2000[0m
  lr_decay_iters     : 75000[0m
  eval_interval      : [92m300[0m
  eval_iters         : 20[0m
  save_interval      : 300[0m
  n_version          : 10[0m
  use_compile        : False[0m
  [1mEffective Batch Size: 128[0m
..................................................

📦 Démarrage Training sur 3Go (Mode Continu)
   ▶️ Reprise au step : 0
   📉 Evaluation tous les : 300 steps
   💾 Sauvegarde tous les : 300 steps
🟢 RAM Système: 53.4% | Process: 494Mo | Swap: 2344Mo
step 19500: train loss 2.7530, val loss 2.8648, lr 2.63e-04 (1550.52s) | 🟡 Po: 75.1% SW: 1988Mo MPS: 1230Mo | 💾 | 🗑️ | ✨
step 19800: train loss 2.8123, val loss 2.8013, lr 2.62e-04 (1532.85s) | 🟡 Po: 74.9% SW: 1972Mo MPS: 1230Mo | 💾 | 🗑️ | ✨
step 20100: train loss 2.8343, val loss 2.8420, lr 2.61e-04 (1532.25s) | 🟡 Po: 77.6% SW: 1972Mo MPS: 1230Mo | 💾 | 🗑️ | ✨
step 20400: train loss 2.7964, val loss 2.8307, lr 2.60e-04 (1532.55s) | 🟡 Po: 74.9% SW: 1972Mo MPS: 1230Mo | 💾 | 🗑️ | ✨
step 20700: train loss 2.8180, val loss 2.7835, lr 2.59e-04 (1519.46s) | 🟡 Po: 70.9% SW: 1956Mo MPS: 1230Mo | 💾 | 🗑️ | ✨
step 21000: train loss 2.7492, val loss 2.8300, lr 2.57e-04 (1471.29s) | 🟡 Po: 73.7% SW: 1860Mo MPS: 1230Mo | 💾 | 🗑️ | ✨
step 21300: train loss 2.7506, val loss 2.8449, lr 2.56e-04 (1474.75s) | 🟡 Po: 71.8% SW: 1957Mo MPS: 1230Mo | 💾 | 🗑️ | ✨
step 21600: train loss 2.7915, val loss 2.8226, lr 2.55e-04 (1503.75s) | 🟡 Po: 74.8% SW: 1957Mo MPS: 1230Mo | 💾 | 🗑️ | ✨
step 21900: train loss 2.8034, val loss 2.8122, lr 2.53e-04 (1533.75s) | 🟡 Po: 72.5% SW: 1949Mo MPS: 1230Mo | 💾 | 🗑️ | ✨
step 22200: train loss 2.7646, val loss 2.8255, lr 2.52e-04 (1531.83s) | 🟡 Po: 72.7% SW: 1893Mo MPS: 1230Mo | 💾 | 🗑️ | ✨
step 22500: train loss 2.8135, val loss 2.8340, lr 2.51e-04 (1533.07s) | 🟡 Po: 78.8% SW: 1893Mo MPS: 1230Mo | 💾 | 🗑️ | ✨
step 22800: train loss 2.7774, val loss 2.8055, lr 2.49e-04 (1532.63s) | 🟡 Po: 73.6% SW: 1885Mo MPS: 1230Mo | 💾 | 🗑️ | ✨
step 23100: train loss 2.8035, val loss 2.7959, lr 2.48e-04 (1532.37s) | 🟡 Po: 73.5% SW: 1885Mo MPS: 1230Mo | 💾 | 🗑️ | ✨
step 23400: train loss 2.7751, val loss 2.8090, lr 2.47e-04 (1533.57s) | 🟡 Po: 74.4% SW: 1885Mo MPS: 1230Mo | 💾 | 🗑️ | ✨
step 23700: train loss 2.7162, val loss 2.8087, lr 2.45e-04 (1534.95s) | 🟡 Po: 74.8% SW: 1877Mo MPS: 1230Mo | 💾 | 🗑️ | ✨
step 24000: train loss 2.8099, val loss 2.7551, lr 2.44e-04 (1533.93s) | 🟡 Po: 77.6% SW: 1877Mo MPS: 1230Mo | 💾 | 🗑️ | ✨
step 24300: train loss 2.7886, val loss 2.7629, lr 2.42e-04 (1532.50s) | 🟡 Po: 73.5% SW: 1869Mo MPS: 1230Mo | 💾 | 🗑️ | ✨
step 24600: train loss 2.7499, val loss 2.8156, lr 2.41e-04 (1535.44s) | 🟡 Po: 73.9% SW: 1853Mo MPS: 1230Mo | 💾 | 🗑️ | ✨
step 24900: train loss 2.7984, val loss 2.7972, lr 2.40e-04 (1533.82s) | 🟡 Po: 80.1% SW: 1845Mo MPS: 1230Mo | 💾 | 🗑️ | ✨
step 25200: train loss 2.7777, val loss 2.7571, lr 2.38e-04 (1534.57s) | 🟡 Po: 78.6% SW: 1845Mo MPS: 1230Mo | 💾 | 🗑️ | ✨
step 25500: train loss 2.7524, val loss 2.7915, lr 2.37e-04 (1533.34s) | 🟡 Po: 80.0% SW: 1845Mo MPS: 1230Mo | 💾 | 🗑️ | ✨
step 25800: train loss 2.7460, val loss 2.8164, lr 2.35e-04 (1532.76s) | 🟡 Po: 79.6% SW: 1845Mo MPS: 1230Mo | 💾 | 🗑️ | ✨
step 26100: train loss 2.7220, val loss 2.7555, lr 2.34e-04 (1533.55s) | 🟡 Po: 74.8% SW: 1845Mo MPS: 1230Mo | 💾 | 🗑️ | ✨
step 26400: train loss 2.7739, val loss 2.7589, lr 2.32e-04 (1532.55s) | 🟡 Po: 74.6% SW: 1845Mo MPS: 1230Mo | 💾 | 🗑️ | ✨
step 26700: train loss 2.7564, val loss 2.7633, lr 2.31e-04 (1534.18s) | 🟡 Po: 77.9% SW: 1878Mo MPS: 1230Mo | 💾 | 🗑️ | ✨
step 27000: train loss 2.7111, val loss 2.7530, lr 2.29e-04 (1531.93s) | 🟡 Po: 77.3% SW: 1854Mo MPS: 1230Mo | 💾 | 🗑️ | ✨
step 27300: train loss 2.7569, val loss 2.8170, lr 2.28e-04 (1532.90s) | 🟡 Po: 74.3% SW: 1854Mo MPS: 1230Mo | 💾 | 🗑️ | ✨
step 27600: train loss 2.7765, val loss 2.7330, lr 2.26e-04 (1551.09s) | 🟡 Po: 74.5% SW: 1854Mo MPS: 1230Mo | 💾 | 🗑️ | ✨
step 27900: train loss 2.7921, val loss 2.7234, lr 2.24e-04 (1523.14s) | 🟡 Po: 77.9% SW: 2035Mo MPS: 1230Mo | 💾 | 🗑️ | ✨
step 28200: train loss 2.7905, val loss 2.7609, lr 2.23e-04 (1482.76s) | 🟡 Po: 78.0% SW: 2004Mo MPS: 1230Mo | 💾 | 🗑️ | ✨
step 28500: train loss 2.7451, val loss 2.7686, lr 2.21e-04 (1492.80s) | 🟡 Po: 79.3% SW: 1988Mo MPS: 1230Mo | 💾 | 🗑️ | ✨
step 28800: train loss 2.7914, val loss 2.7325, lr 2.20e-04 (1533.99s) | 🟡 Po: 72.7% SW: 2326Mo MPS: 1230Mo | 💾 | 🗑️ | ✨
step 29100: train loss 2.7963, val loss 2.7567, lr 2.18e-04 (1534.06s) | 🟡 Po: 76.3% SW: 2262Mo MPS: 1230Mo | 💾 | 🗑️ | ✨
step 29400: train loss 2.7441, val loss 2.7552, lr 2.17e-04 (1525.82s) | 🟡 Po: 72.4% SW: 2222Mo MPS: 1230Mo | 💾 | 🗑️ | ✨
step 29700: train loss 2.7447, val loss 2.7490, lr 2.15e-04 (1503.55s) | 🟡 Po: 74.5% SW: 3341Mo MPS: 1230Mo | 💾 | 🗑️ | ✨
step 30000: train loss 2.7297, val loss 2.7771, lr 2.13e-04 (1499.20s) | 🟡 Po: 74.9% SW: 3329Mo MPS: 1230Mo | 💾 | 🗑️ | ✨
step 30300: train loss 2.6980, val loss 2.7891, lr 2.12e-04 (1479.54s) | 🟡 Po: 76.9% SW: 3915Mo MPS: 1230Mo | 💾 | 🗑️ | ✨
step 30600: train loss 2.7655, val loss 2.7523, lr 2.10e-04 (1497.41s) | 🟡 Po: 76.2% SW: 3861Mo MPS: 1230Mo | 💾 | 🗑️ | ✨
step 30900: train loss 2.7202, val loss 2.7204, lr 2.08e-04 (1500.06s) | 🟡 Po: 77.7% SW: 3704Mo MPS: 1230Mo | 💾 | 🗑️ | ✨
step 31200: train loss 2.7933, val loss 2.7594, lr 2.07e-04 (1481.29s) | 🟡 Po: 76.2% SW: 4188Mo MPS: 1230Mo | 💾 | 🗑️ | ✨
